"shapeid"|"x"|"y"
"0"|"-66.0464653013"|"-9.40935064089"
"0"|"-66.0424113875"|"-9.40237840672"
"0"|"-66.0345249661"|"-9.40063952401"
"0"|"-66.0025756821"|"-9.40426429782"
"0"|"-65.9864420211"|"-9.41313517478"
"0"|"-65.9702977926"|"-9.41316519638"
"0"|"-65.9670511229"|"-9.42011188473"
"0"|"-65.9531599702"|"-9.42876859155"
"0"|"-65.9516355301"|"-9.43626944566"
"0"|"-65.9318768585"|"-9.44760033371"
"0"|"-65.9224682429"|"-9.47090318229"
"0"|"-65.9126307226"|"-9.48375711648"
"0"|"-65.8980178959"|"-9.48905520488"
"0"|"-65.8809036613"|"-9.48747105724"
"0"|"-65.8603488917"|"-9.51077475426"
"0"|"-65.8525449727"|"-9.51070809792"
"0"|"-65.8466021798"|"-9.51641728687"
"0"|"-65.8482430412"|"-9.53233010224"
"0"|"-65.8407952372"|"-9.53412095009"
"0"|"-65.8250707266"|"-9.53009818345"
"0"|"-65.8180212991"|"-9.56226355123"
"0"|"-65.8106857182"|"-9.56441328875"
"0"|"-65.8053779283"|"-9.57051914453"
"0"|"-65.8000145942"|"-9.5850302992"
"0"|"-65.79151484"|"-9.58565031227"
"0"|"-65.7780217212"|"-9.57753114356"
"0"|"-65.7707063984"|"-9.56536306741"
"0"|"-65.7565405153"|"-9.56896198448"
"0"|"-65.7503196369"|"-9.55362917663"
"0"|"-65.7427679401"|"-9.55297418518"
"0"|"-65.7299573488"|"-9.56307978343"
"0"|"-65.7235381518"|"-9.55906255978"
"0"|"-65.6960701974"|"-9.50767746732"
"0"|"-65.6809870735"|"-9.50041552479"
"0"|"-65.6794245009"|"-9.45140012507"
"0"|"-65.672766135"|"-9.44635678784"
"0"|"-65.6571752451"|"-9.44928626052"
"0"|"-65.6498727141"|"-9.44728043184"
"0"|"-65.6416215523"|"-9.43347568556"
"0"|"-65.6347606872"|"-9.42970679623"
"0"|"-65.6182539514"|"-9.42598569763"
"0"|"-65.5967621849"|"-9.41387319535"
"0"|"-65.5880946511"|"-9.41378292886"
"0"|"-65.5689062511"|"-9.41968991389"
"0"|"-65.5556195365"|"-9.42246327197"
"0"|"-65.5223958289"|"-9.44691282312"
"0"|"-65.5147221914"|"-9.44951895113"
"0"|"-65.5065335459"|"-9.44770701296"
"0"|"-65.5034766021"|"-9.45695648514"
"0"|"-65.5031474518"|"-9.46998457445"
"0"|"-65.4927835274"|"-9.47367209772"
"0"|"-65.4769504087"|"-9.47267183854"
"0"|"-65.4678636885"|"-9.45930042754"
"0"|"-65.4566411598"|"-9.47052769351"
"0"|"-65.4426558195"|"-9.46470880837"
"0"|"-65.4346982906"|"-9.46634298985"
"0"|"-65.4320807699"|"-9.45864325135"
"0"|"-65.4433115952"|"-9.42015647087"
"0"|"-65.4546419018"|"-9.40861531505"
"0"|"-65.4565816216"|"-9.40121612679"
"0"|"-65.4461123731"|"-9.37069828433"
"0"|"-65.4476723459"|"-9.34579432919"
"0"|"-65.4436106427"|"-9.33036040583"
"0"|"-65.4490839897"|"-9.32458732817"
"0"|"-65.446999804"|"-9.31638480973"
"0"|"-65.4401997713"|"-9.31175369558"
"0"|"-65.4097918888"|"-9.32245931877"
"0"|"-65.393502959"|"-9.33960549566"
"0"|"-65.3851907022"|"-9.33803966922"
